uri:ID,name,:LABEL
http://www.wikidata.org/entity/Q465449,Miramax,Company
http://www.wikidata.org/entity/Q2714773,Caravan Pictures,Company
http://www.wikidata.org/entity/Q25659094,Roger Birnbaum Productions,Company
http://www.wikidata.org/entity/Q3521465,The Kennedy/Marshall Company,Company
http://www.wikidata.org/entity/Q3304113,Medusa Film,Company
http://www.wikidata.org/entity/Q3664077,Cecchi Gori Group,Company
http://www.wikidata.org/entity/Q190585,Island Records,Company
http://www.wikidata.org/entity/Q3323969,Morgan Creek Productions,Company
http://www.wikidata.org/entity/Q3999144,Triumph Films,Company
http://www.wikidata.org/entity/Q233620,Mikado,Company
http://www.wikidata.org/entity/Q651454,Tristar Pictures,Company
http://www.wikidata.org/entity/Q17343522,Robert Simonds Productions,Company
http://www.wikidata.org/entity/Q1506909,Gracie Films,Company
http://www.wikidata.org/entity/Q2703264,Malpaso Productions,Company
http://www.wikidata.org/entity/Q2914692,The Jim Henson Company,Company
http://www.wikidata.org/entity/Q951774,The Ladd Company,Company
http://www.wikidata.org/entity/Q2669403,Icon Productions,Company
http://www.wikidata.org/entity/Q541569,Orange Sky Golden Harvest,Company
http://www.wikidata.org/entity/Q3071502,Fidélité Productions,Company
http://www.wikidata.org/entity/Q179200,Metro-Goldwyn-Mayer,Company
http://www.wikidata.org/entity/Q511731,Imagine Entertainment,Company
http://www.wikidata.org/entity/Q17305144,Jerry Bruckheimer Films,Company
http://www.wikidata.org/entity/Q17335713,Tim Burton Productions,Company
http://www.wikidata.org/entity/Q21043034,Universal Pictures,Company
http://www.wikidata.org/entity/Q5677175,Harvey Films,Company
http://www.wikidata.org/entity/Q1416899,Fine Line Features,Company
http://www.wikidata.org/entity/Q219400,United Artists Corporation,Company
http://www.wikidata.org/entity/Q1643241,Ugc,Company
http://www.wikidata.org/entity/Q1607312,Alliance Films,Company
http://www.wikidata.org/entity/Q1138658,40 Acres & A Mule Filmworks,Company
http://www.wikidata.org/entity/Q17386418,Zucker Brothers Entertainment,Company
http://www.wikidata.org/entity/Q17371499,Edward R. Pressman Film,Company
http://www.wikidata.org/entity/Q2700070,View Askew Productions,Company
http://www.wikidata.org/entity/Q730179,Toei Animation,Company
http://www.wikidata.org/entity/Q1066018,Toei Company,Company
http://www.wikidata.org/entity/Q2719775,Saban Entertainment,Company
http://www.wikidata.org/entity/Q6407480,Killer Films,Company
http://www.wikidata.org/entity/Q5453219,First Look Studios,Company
http://www.wikidata.org/entity/Q149947,Midway Games,Company
http://www.wikidata.org/entity/Q4051446,Threshold Entertainment,Company
http://www.wikidata.org/entity/Q775450,Lightstorm Entertainment,Company
http://www.wikidata.org/entity/Q7385357,Rysher Entertainment,Company
http://www.wikidata.org/entity/Q3539712,Trite,Company
http://www.wikidata.org/entity/Q2579492,Davis Entertainment,Company
http://www.wikidata.org/entity/Q3712525,Dog Eat Dog Films,Company
http://www.wikidata.org/entity/Q3852994,Maverick Films,Company
http://www.wikidata.org/entity/Q7250053,Propaganda Films,Company
http://www.wikidata.org/entity/Q5508101,Full Moon Features,Company
http://www.wikidata.org/entity/Q1047410,Walt Disney Animation Studios,Company
http://www.wikidata.org/entity/Q2081339,Disneytoon Studios,Company
http://www.wikidata.org/entity/Q1283484,Savoy Pictures,Company
http://www.wikidata.org/entity/Q17592447,Clokey Productions,Company
http://www.wikidata.org/entity/Q6373523,Kartemquin Films,Company
http://www.wikidata.org/entity/Q4853294,Trimark Pictures,Company
http://www.wikidata.org/entity/Q21280724,Tapestry Films,Company
http://www.wikidata.org/entity/Q25857935,Levy-Abrams-Guerin Productions,Company
http://www.wikidata.org/entity/Q242446,Lucasfilm,Company
http://www.wikidata.org/entity/Q7736023,The Geffen Film Company,Company
http://www.wikidata.org/entity/Q3569323,Wingnut Films,Company
http://www.wikidata.org/entity/Q4879144,Bedford Falls Productions,Company
http://www.wikidata.org/entity/Q25857997,All Girl Productions,Company
http://www.wikidata.org/entity/Q25857998,Orr & Cruickshank,Company
http://www.wikidata.org/entity/Q17346715,Baltimore Pictures,Company
http://www.wikidata.org/entity/Q467348,American Zoetrope,Company
http://www.wikidata.org/entity/Q913462,Gaumont Film Company,Company
http://www.wikidata.org/entity/Q1322641,France 3,Company
http://www.wikidata.org/entity/Q1374418,Eurimages,Company
http://www.wikidata.org/entity/Q3177524,Jersey Films,Company
http://www.wikidata.org/entity/Q17091909,Nomura Babcock & Brown,Company
http://www.wikidata.org/entity/Q2748878,A. Film A/S,Company
http://www.wikidata.org/entity/Q3425474,Renn Productions,Company
http://www.wikidata.org/entity/Q1108255,Film4,Company
http://www.wikidata.org/entity/Q615141,Outlaw Productions,Company
http://www.wikidata.org/entity/Q5063029,Centropolis Entertainment,Company
http://www.wikidata.org/entity/Q7488444,Shanghai Film Studio,Company
http://www.wikidata.org/entity/Q5448979,Film Victoria,Company
http://www.wikidata.org/entity/Q736464,Hanna-Barbera,Company
http://www.wikidata.org/entity/Q908662,Dimension Films,Company
http://www.wikidata.org/entity/Q5223268,Dark Horse Entertainment,Company
http://www.wikidata.org/entity/Q5448886,Film4 Productions,Company
http://www.wikidata.org/entity/Q501070,Channel 4,Company
http://www.wikidata.org/entity/Q25557249,Edward S. Feldman Productions,Company
http://www.wikidata.org/entity/Q25877976,Sharad Patel Productions,Company
http://www.wikidata.org/entity/Q6184876,Jersey Group,Company
http://www.wikidata.org/entity/Q7009848,New Line Cinema'S House Of Horror,Company
http://www.wikidata.org/entity/Q7969706,Warner Bros. Family Entertainment,Company
http://www.wikidata.org/entity/Q3381138,Renaissance Pictures,Company
http://www.wikidata.org/entity/Q17346576,Largo Entertainment,Company
http://www.wikidata.org/entity/Q586619,Bbc Radio Bristol,Company
http://www.wikidata.org/entity/Q4939388,Bolexbrothers,Company
http://www.wikidata.org/entity/Q14428,Capcom,Company
http://www.wikidata.org/entity/Q2865801,Artisan Entertainment,Company
http://www.wikidata.org/entity/Q5035871,Capitol Films,Company
http://www.wikidata.org/entity/Q23633,Hbo,Company
http://www.wikidata.org/entity/Q6083450,Island World,Company
http://www.wikidata.org/entity/Q1579809,Tribeca Productions,Company
http://www.wikidata.org/entity/Q216364,Epic,Company
http://www.wikidata.org/entity/Q891732,Orion Pictures,Company
http://www.wikidata.org/entity/Q3149951,Itc Entertainment,Company
http://www.wikidata.org/entity/Q7565435,South African Breweries,Company
http://www.wikidata.org/entity/Q564960,Constantin Film,Company
http://www.wikidata.org/entity/Q622668,Village Roadshow Pictures,Company
http://www.wikidata.org/entity/Q3088127,Viacom,Company
http://www.wikidata.org/entity/Q428457,Nelvana,Company
http://www.wikidata.org/entity/Q17032103,Thin Man Films,Company
http://www.wikidata.org/entity/Q4036210,Ciby 2000,Company
http://www.wikidata.org/entity/Q4824145,Australian Film Commission,Company
http://www.wikidata.org/entity/Q17335626,Jan Chapman Productions,Company
http://www.wikidata.org/entity/Q2407366,Merchant Ivory Productions,Company
http://www.wikidata.org/entity/Q812893,Beacon Pictures,Company
http://www.wikidata.org/entity/Q444591,Run Run Shaw,Company
http://www.wikidata.org/entity/Q3980774,Tandem Productions,Company
http://www.wikidata.org/entity/Q8093,Nintendo,Company
http://www.wikidata.org/entity/Q4732569,Allied Filmmakers,Company
http://www.wikidata.org/entity/Q3629541,August Entertainment,Company
http://www.wikidata.org/entity/Q3703758,Davis-Films,Company
http://www.wikidata.org/entity/Q3486223,Skellington Productions,Company
http://www.wikidata.org/entity/Q3546604,Telefilm Canada,Company
http://www.wikidata.org/entity/Q371400,Turner Entertainment,Company
http://www.wikidata.org/entity/Q963204,The Kushner-Locke Company,Company
http://www.wikidata.org/entity/Q4354137,King World Productions,Company
http://www.wikidata.org/entity/Q17295769,Great Oaks Productions,Company
http://www.wikidata.org/entity/Q1643954,Majestic Films International,Company
http://www.wikidata.org/entity/Q2384316,Tig Productions,Company
http://www.wikidata.org/entity/Q3460921,Sacher Film,Company
http://www.wikidata.org/entity/Q17335705,Pacific Western Productions,Company
http://www.wikidata.org/entity/Q25917011,Silver Screen Partners Iv,Company
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,Company
http://www.wikidata.org/entity/Q3298971,"Warner Bros.-Seven Arts, Inc.",Company
http://www.wikidata.org/entity/Q6824403,Metro-Goldwyn-Mayer Animation,Company
http://www.wikidata.org/entity/Q3146538,Ice3,Company
http://www.wikidata.org/entity/Q3005562,Cruise/Wagner Productions,Company
http://www.wikidata.org/entity/Q1321379,Lakeshore Entertainment,Company
http://www.wikidata.org/entity/Q5615727,Guild Home Video,Company
http://www.wikidata.org/entity/Q5589345,Government Of West Bengal,Company
http://www.wikidata.org/entity/Q4896597,Best Brains,Company
http://www.wikidata.org/entity/Q3028387,Dino De Laurentiis Cinematografica,Company
http://www.wikidata.org/entity/Q17345595,Northern Lights Entertainment,Company
http://www.wikidata.org/entity/Q2363431,Little Bear,Company
http://www.wikidata.org/entity/Q9531,Bbc,Company
http://www.wikidata.org/entity/Q25929166,Silver Screen Partners Iii,Company
http://www.wikidata.org/entity/Q541667,Thames Television,Company
http://www.wikidata.org/entity/Q3960839,Silvio Berlusconi Communications,Company
http://www.wikidata.org/entity/Q301092,Aardman Animations,Company
http://www.wikidata.org/entity/Q7732284,The Enterprise Studios,Company
http://www.wikidata.org/entity/Q735670,Production I.G,Company
http://www.wikidata.org/entity/Q5531907,General Film Distributors,Company
http://www.wikidata.org/entity/Q5684820,Hawk Films,Company
http://www.wikidata.org/entity/Q17387231,Highschool Sweethearts,Company
http://www.wikidata.org/entity/Q3008749,Mandalay Entertainment,Company
http://www.wikidata.org/entity/Q4968078,Brillstein Entertainment Partners,Company
http://www.wikidata.org/entity/Q6917750,Motion Picture Corporation Of America,Company
http://www.wikidata.org/entity/Q953040,Fox Searchlight Pictures,Company
http://www.wikidata.org/entity/Q1785329,Nickelodeon Movies,Company
http://www.wikidata.org/entity/Q7295254,Rastar,Company
http://www.wikidata.org/entity/Q605307,Les Films Du Losange,Company
http://www.wikidata.org/entity/Q3840934,Lux Film,Company
http://www.wikidata.org/entity/Q122549,Shochiku,Company
http://www.wikidata.org/entity/Q17305146,Alfran Productions,Company
http://www.wikidata.org/entity/Q795613,Television Centre,Company
http://www.wikidata.org/entity/Q18694578,C-Hundred Film Corporation,Company
http://www.wikidata.org/entity/Q632323,Summit Entertainment,Company
http://www.wikidata.org/entity/Q267282,Rko Pictures,Company
http://www.wikidata.org/entity/Q456294,The Mirisch Company,Company
http://www.wikidata.org/entity/Q18219588,Q18219588,Company
http://www.wikidata.org/entity/Q540122,Selznick International Pictures,Company
http://www.wikidata.org/entity/Q2756484,Monogram Pictures,Company
http://www.wikidata.org/entity/Q1535748,Liberty Films,Company
http://www.wikidata.org/entity/Q774682,Republic Pictures,Company
http://www.wikidata.org/entity/Q5903471,Horizon Pictures,Company
http://www.wikidata.org/entity/Q3791677,John And James Woolf,Company
http://www.wikidata.org/entity/Q4355153,Kcet,Company
http://www.wikidata.org/entity/Q4829081,Avnet–Kerner Productions,Company
http://www.wikidata.org/entity/Q48340,Cnn,Company
http://www.wikidata.org/entity/Q3532837,Touchwood Pacific Partners,Company
http://www.wikidata.org/entity/Q25894863,Franklin R. Levy Productions,Company
http://www.wikidata.org/entity/Q25894719,Dawn Steel Productions,Company
http://www.wikidata.org/entity/Q5129646,Clavius Base,Company
http://www.wikidata.org/entity/Q17335567,Gordon Company,Company
http://www.wikidata.org/entity/Q1033488,Handmade Films,Company
http://www.wikidata.org/entity/Q3784765,Hemdale Film Corporation,Company
http://www.wikidata.org/entity/Q3361835,Pan-Européenne,Company
http://www.wikidata.org/entity/Q11887890,Phoenix Pictures,Company
http://www.wikidata.org/entity/Q2554119,Wega Film,Company
http://www.wikidata.org/entity/Q649649,Focus Features,Company
http://www.wikidata.org/entity/Q1544011,Pathé,Company
http://www.wikidata.org/entity/Q2138792,Goldcrest Films,Company
http://www.wikidata.org/entity/Q7263919,Python (Monty) Pictures,Company
http://www.wikidata.org/entity/Q3951435,Scalera Film,Company
http://www.wikidata.org/entity/Q17377479,Edward Small Productions,Company
http://www.wikidata.org/entity/Q3503539,Jadran Film,Company
http://www.wikidata.org/entity/Q3232637,Ariane Films,Company
http://www.wikidata.org/entity/Q3051909,Maxeda,Company
http://www.wikidata.org/entity/Q214683,Tf1,Company
http://www.wikidata.org/entity/Q9390236,"Zespól Filmowy ""X""",Company
http://www.wikidata.org/entity/Q10603029,Norsk Film,Company
http://www.wikidata.org/entity/Q5120868,Cineplex Odeon Films,Company
http://www.wikidata.org/entity/Q4980924,Bryna Productions,Company
http://www.wikidata.org/entity/Q21729773,Fantasy Films Productions,Company
http://www.wikidata.org/entity/Q1706678,Brandywine Productions,Company
http://www.wikidata.org/entity/Q72088427,Q72088427,Company
http://www.wikidata.org/entity/Q203453,Westdeutscher Rundfunk,Company
http://www.wikidata.org/entity/Q2861044,Argos Films,Company
http://www.wikidata.org/entity/Q1868978,London Films,Company
http://www.wikidata.org/entity/Q17371439,Dino De Laurentiis Corporation,Company
http://www.wikidata.org/entity/Q72096403,Q72096403,Company
http://www.wikidata.org/entity/Q448807,National Film And Television School,Company
http://www.wikidata.org/entity/Q5448985,Film Workshop,Company
http://www.wikidata.org/entity/Q2861046,Argosy Pictures,Company
http://www.wikidata.org/entity/Q13403877,The Samuel Goldwyn Company,Company
http://www.wikidata.org/entity/Q7247721,Producers Sales Organization,Company
http://www.wikidata.org/entity/Q648034,Bavaria Film,Company
http://www.wikidata.org/entity/Q141336,Mosfilm,Company
http://www.wikidata.org/entity/Q3120960,Wnet,Company
http://www.wikidata.org/entity/Q370417,Lawrence Turman,Company
http://www.wikidata.org/entity/Q3677221,Cineriz,Company
http://www.wikidata.org/entity/Q7015366,New Zealand Film Commission,Company
http://www.wikidata.org/entity/Q5009283,Cbs Theatrical Films,Company
http://www.wikidata.org/entity/Q880187,Nero-Film,Company
http://www.wikidata.org/entity/Q3704004,De Laurentiis Entertainment Group,Company
http://www.wikidata.org/entity/Q4353408,Emi Films,Company
http://www.wikidata.org/entity/Q507269,"Bandai Co., Ltd.",Company
http://www.wikidata.org/entity/Q716979,Sumitomo Corporation,Company
http://www.wikidata.org/entity/Q726081,Kodansha,Company
http://www.wikidata.org/entity/Q875920,Tōhō,Company
http://www.wikidata.org/entity/Q1054807,Tms Entertainment,Company
http://www.wikidata.org/entity/Q1331921,Mainichi Broadcasting System,Company
http://www.wikidata.org/entity/Q14681732,Charlie Chaplin Studios,Company
http://www.wikidata.org/entity/Q17335591,Charles Chaplin Film Corporation,Company
http://www.wikidata.org/entity/Q177955,Sf Studios,Company
http://www.wikidata.org/entity/Q1152955,Lorimar Television,Company
http://www.wikidata.org/entity/Q18219579,Enigma Productions,Company
http://www.wikidata.org/entity/Q465224,American International Pictures,Company
http://www.wikidata.org/entity/Q4863766,Barris Industries,Company
http://www.wikidata.org/entity/Q540172,Prana Film,Company
http://www.wikidata.org/entity/Q6805494,Media Home Entertainment,Company
http://www.wikidata.org/entity/Q362121,Rpc,Company
http://www.wikidata.org/entity/Q7566109,South Australian Film Corporation,Company
http://www.wikidata.org/entity/Q191158,Zentropa,Company
http://www.wikidata.org/entity/Q678058,1492 Pictures,Company
http://www.wikidata.org/entity/Q15541465,Barwood Films,Company
http://www.wikidata.org/entity/Q746676,Industrial Light & Magic,Company
http://www.wikidata.org/entity/Q2033202,Sandrew Metronome,Company
http://www.wikidata.org/entity/Q778792,Rso Records,Company
http://www.wikidata.org/entity/Q5403512,Steamroller Productions,Company
http://www.wikidata.org/entity/Q17335612,Vinyl Films,Company
http://www.wikidata.org/entity/Q19814222,Mk2,Company
http://www.wikidata.org/entity/Q1111024,Mtv Films,Company
http://www.wikidata.org/entity/Q17295709,Scott Rudin Productions,Company
http://www.wikidata.org/entity/Q18053468,Biograf Jan Svěrák,Company
http://www.wikidata.org/entity/Q23130730,The Bubble Factory,Company
http://www.wikidata.org/entity/Q1325985,The Movie Network,Company
http://www.wikidata.org/entity/Q822314,Sony Pictures,Company
http://www.wikidata.org/entity/Q3739211,Fandango,Company
http://www.wikidata.org/entity/Q5593631,Gramercy Pictures,Company
http://www.wikidata.org/entity/Q19955849,Les Films Du Fleuve,Company
http://www.wikidata.org/entity/Q6517260,Legacy Releasing,Company
http://www.wikidata.org/entity/Q3808345,Jim Henson Pictures,Company
http://www.wikidata.org/entity/Q3422434,Recorded Picture Company,Company
http://www.wikidata.org/entity/Q2721586,Spelling Television,Company
http://www.wikidata.org/entity/Q1054221,National Center Of Cinematography And The Moving Image,Company
http://www.wikidata.org/entity/Q34686947,Q34686947,Company
http://www.wikidata.org/entity/Q3476213,Scott Free Productions,Company
http://www.wikidata.org/entity/Q3285496,Mandeville Films,Company
http://www.wikidata.org/entity/Q10748653,Alliance Atlantis,Company
http://www.wikidata.org/entity/Q25796540,Keystone Pictures,Company
http://www.wikidata.org/entity/Q25796542,Robert Vince Productions,Company
http://www.wikidata.org/entity/Q192557,Dreamworks,Company
http://www.wikidata.org/entity/Q621538,Applecross,Company
http://www.wikidata.org/entity/Q6310024,Julius R. Nasso,Company
http://www.wikidata.org/entity/Q5582745,Good Machine,Company
http://www.wikidata.org/entity/Q25796511,Gold/Miller Productions,Company
http://www.wikidata.org/entity/Q5018980,Caldecot Chubb,Company
http://www.wikidata.org/entity/Q3282004,Tiger Aspect Productions,Company
http://www.wikidata.org/entity/Q17335699,Lawrence Gordon Productions,Company
http://www.wikidata.org/entity/Q540590,Mutual Film,Company
http://www.wikidata.org/entity/Q3080177,Fox Animation Studios,Company
http://www.wikidata.org/entity/Q662081,Hbo Films,Company
http://www.wikidata.org/entity/Q3910771,Première Heure,Company
http://www.wikidata.org/entity/Q3305015,Q3305015,Company
http://www.wikidata.org/entity/Q5182716,Craven-Maddalena Films,Company
http://www.wikidata.org/entity/Q260528,British Film Institute,Company
http://www.wikidata.org/entity/Q25713854,Ben Myron Productions,Company
http://www.wikidata.org/entity/Q8023804,Winchester Films,Company
http://www.wikidata.org/entity/Q644711,Flower Films,Company
http://www.wikidata.org/entity/Q3933698,Reteitalia,Company
http://www.wikidata.org/entity/Q7720204,The British Screen Advisory Council,Company
http://www.wikidata.org/entity/Q922453,Mr. Mudd,Company
http://www.wikidata.org/entity/Q3745392,Film Finance Corporation Australia,Company
http://www.wikidata.org/entity/Q16252933,Mandalay Pictures,Company
http://www.wikidata.org/entity/Q806252,Bandai Visual,Company
http://www.wikidata.org/entity/Q515708,Dic Entertainment,Company
http://www.wikidata.org/entity/Q25713834,Peak Productions,Company
http://www.wikidata.org/entity/Q3243165,Hit Entertainment,Company
http://www.wikidata.org/entity/Q6710029,Lyrick Studios,Company
http://www.wikidata.org/entity/Q3178829,Jim Henson'S Creature Shop,Company
http://www.wikidata.org/entity/Q1324070,El Deseo,Company
http://www.wikidata.org/entity/Q3459450,Se8 Group,Company
http://www.wikidata.org/entity/Q8071490,Zide/Perry Productions,Company
http://www.wikidata.org/entity/Q577589,Dovzhenko Film Studios,Company
http://www.wikidata.org/entity/Q19867354,Brainstorm Media,Company
http://www.wikidata.org/entity/Q627091,Rhino Entertainment Company,Company
http://www.wikidata.org/entity/Q17371406,Q17371406,Company
http://www.wikidata.org/entity/Q384930,Warner Bros. Cartoons,Company
http://www.wikidata.org/entity/Q5183495,Creative Capers Entertainment,Company
http://www.wikidata.org/entity/Q8059419,Yowza! Animation,Company
http://www.wikidata.org/entity/Q3880776,October Films,Company
http://www.wikidata.org/entity/Q2864832,La Sept,Company
http://www.wikidata.org/entity/Q2893859,Ten Thirteen Productions,Company
http://www.wikidata.org/entity/Q515869,Lions Gate Entertainment,Company
http://www.wikidata.org/entity/Q6555926,Lionsgate Home Entertainment,Company
http://www.wikidata.org/entity/Q17386194,Friendly Productions,Company
http://www.wikidata.org/entity/Q7411497,Samuel Goldwyn Productions,Company
http://www.wikidata.org/entity/Q3542595,Two Cities Films,Company
http://www.wikidata.org/entity/Q3129183,Hecht Hill Lancaster,Company
http://www.wikidata.org/entity/Q2371191,Woodfall Film Productions,Company
http://www.wikidata.org/entity/Q4732600,Allied Stars Ltd,Company
http://www.wikidata.org/entity/Q771272,Worldvision Enterprises,Company
http://www.wikidata.org/entity/Q2623393,Mirage Studios,Company
http://www.wikidata.org/entity/Q3685076,Compass International Pictures,Company
http://www.wikidata.org/entity/Q41468,Universum Film Ag,Company
http://www.wikidata.org/entity/Q3483998,Silver Screen Partners,Company
http://www.wikidata.org/entity/Q25881967,Adelson-Baumgarten Productions,Company
http://www.wikidata.org/entity/Q25929170,Robert Halmi,Company
http://www.wikidata.org/entity/Q28648534,Calgary Ltd.,Company
http://www.wikidata.org/entity/Q25894734,David Kirschner Productions,Company
http://www.wikidata.org/entity/Q25894735,Steven Haft Productions,Company
http://www.wikidata.org/entity/Q25713819,The Meyers/Shyer Company,Company
http://www.wikidata.org/entity/Q1065024,Hearst,Company
http://www.wikidata.org/entity/Q1469675,King Features Syndicate,Company
http://www.wikidata.org/entity/Q25907643,Michael Finnell Productions,Company
http://www.wikidata.org/entity/Q1392453,Disney Television Animation,Company
http://www.wikidata.org/entity/Q512858,Spyglass Entertainment,Company
http://www.wikidata.org/entity/Q7933978,Virgin Produced,Company
http://www.wikidata.org/entity/Q7636396,Sullivan Bluth Studios,Company
http://www.wikidata.org/entity/Q7675027,Taft Broadcasting,Company
http://www.wikidata.org/entity/Q18971,Arthur P. Jacobs,Company
http://www.wikidata.org/entity/Q1636748,Amblimation,Company
http://www.wikidata.org/entity/Q4822585,Aurora Productions,Company
http://www.wikidata.org/entity/Q3067564,New World Pictures,Company
http://www.wikidata.org/entity/Q640786,Troma Entertainment,Company
http://www.wikidata.org/entity/Q1200552,Marvel Entertainment,Company
http://www.wikidata.org/entity/Q3046343,Eagle Pictures,Company
http://www.wikidata.org/entity/Q1265201,Transatlantic Pictures,Company
http://www.wikidata.org/entity/Q6805440,Media 8 Entertainment,Company
http://www.wikidata.org/entity/Q7914838,Vanguard Films,Company
http://www.wikidata.org/entity/Q200976,Associated British Picture Corporation,Company
http://www.wikidata.org/entity/Q1136277,Gainsborough Pictures,Company
http://www.wikidata.org/entity/Q214346,Viacom,Company
http://www.wikidata.org/entity/Q43380,Cbs,Company
http://www.wikidata.org/entity/Q18370014,Cbs Productions,Company
http://www.wikidata.org/entity/Q19864069,"American Broadcasting-Paramount Theatres, Inc.",Company
http://www.wikidata.org/entity/Q30174965,Sherwood Productions,Company
http://www.wikidata.org/entity/Q277626,A&M Records,Company
http://www.wikidata.org/entity/Q557387,Original Film,Company
http://www.wikidata.org/entity/Q17067490,Kaleidoscope Entertainment,Company
http://www.wikidata.org/entity/Q3107204,Playboy Enterprises,Company
http://www.wikidata.org/entity/Q17081246,Millennium Entertainment,Company
http://www.wikidata.org/entity/Q500088,Dreamworks Animation,Company
http://www.wikidata.org/entity/Q533547,Pacific Data Images,Company
http://www.wikidata.org/entity/Q7391860,Snl Studios,Company
http://www.wikidata.org/entity/Q1243548,Dor Film,Company
http://www.wikidata.org/entity/Q2819002,Abc Entertainment,Company
http://www.wikidata.org/entity/Q4928562,Blowback Productions,Company
http://www.wikidata.org/entity/Q2012913,Harpo Productions,Company
http://www.wikidata.org/entity/Q1155729,Scholastic Corporation,Company
http://www.wikidata.org/entity/Q3854087,Melampo Cinematografica,Company
http://www.wikidata.org/entity/Q5737412,Here Media,Company
http://www.wikidata.org/entity/Q7503319,Showtime Networks,Company
http://www.wikidata.org/entity/Q3298993,Seven Arts Productions,Company
http://www.wikidata.org/entity/Q7018547,Newmarket Capital Group,Company
http://www.wikidata.org/entity/Q5046954,Carson Productions,Company
http://www.wikidata.org/entity/Q7883076,Dreamlanders,Company
http://www.wikidata.org/entity/Q117555,Nimbus Film,Company
http://www.wikidata.org/entity/Q1033465,The Cannon Group,Company
http://www.wikidata.org/entity/Q4816418,Atlantic Entertainment Group,Company
http://www.wikidata.org/entity/Q25713808,Jacobson Company,Company
http://www.wikidata.org/entity/Q17335573,Filmcolony,Company
http://www.wikidata.org/entity/Q1976172,Hyperion Pictures,Company
http://www.wikidata.org/entity/Q1784058,United States Copyright Office,Company
http://www.wikidata.org/entity/Q910541,Topps,Company
http://www.wikidata.org/entity/Q236268,Cannon,Company
http://www.wikidata.org/entity/Q403131,Vortex,Company
http://www.wikidata.org/entity/Q732722,Vortex,Company
http://www.wikidata.org/entity/Q19616,Rai,Company
http://www.wikidata.org/entity/Q25267477,Jerry Leider Productions,Company
http://www.wikidata.org/entity/Q25267478,Robert Shapiro Productions,Company
http://www.wikidata.org/entity/Q17305153,Di Novi Pictures,Company
http://www.wikidata.org/entity/Q210311,American Dad!,Company
http://www.wikidata.org/entity/Q3070436,Abitibi-Témiscamingue Pseudo-Documentary Festival,Company
http://www.wikidata.org/entity/Q835847,Digital Anvil,Company
http://www.wikidata.org/entity/Q2415769,Heyday Films,Company
http://www.wikidata.org/entity/Q3189915,Cartoon Pizza,Company
http://www.wikidata.org/entity/Q724622,Rankin/Bass Productions,Company
http://www.wikidata.org/entity/Q1433174,Crest Animation Productions,Company
http://www.wikidata.org/entity/Q3338432,Nest Family Entertainment,Company
http://www.wikidata.org/entity/Q984047,Syncopy Inc.,Company
http://www.wikidata.org/entity/Q3400795,Arts Council England,Company
http://www.wikidata.org/entity/Q7305524,Lionsgate Uk,Company
http://www.wikidata.org/entity/Q4713342,Alcon Entertainment,Company
http://www.wikidata.org/entity/Q3127607,Harold Greenberg,Company
http://www.wikidata.org/entity/Q5030615,Canadian Television Fund,Company
http://www.wikidata.org/entity/Q16955312,Natural Nylon,Company
http://www.wikidata.org/entity/Q947354,Shaw Brothers Studio,Company
http://www.wikidata.org/entity/Q1191676,Distant Horizons,Company
http://www.wikidata.org/entity/Q7006678,New Concorde,Company
